id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,mdlsport_id
107568,-11789,-6186,-10728,388,717,-8768,47.8600006103516,78.5500030517578,103.51000213623001,8289,1,2490649,2020-03-27 06:02:51,141
107569,-17603,-3940,522,-6932,-1934,-10418,-70.19000244140629,71.1999969482422,-4.92000007629395,8289,1,2490690,2020-03-27 06:02:51,141
107570,-6424,-304,3733,-8315,-1805,-614,-85.75,59.2299995422363,-0.400000005960465,8289,2,2490731,2020-03-27 06:02:51,141
107571,2633,-1152,7328,-9111,-5336,148,-90.4300003051758,59.8499984741211,19.8500003814697,8289,2,2490772,2020-03-27 06:02:51,141
107572,-2098,-412,8334,-5339,-4531,2338,-85.25,61.58000183105471,45.0,8289,2,2490813,2020-03-27 06:02:51,141
107573,-1528,-2910,7068,-524,-3706,6109,-57.6100006103516,70.22000122070311,82.5100021362305,8289,-1,2490853,2020-03-27 06:02:51,141
107574,620,-4354,4815,4710,-655,6517,3.02999997138977,73.61000061035159,138.229995727539,8289,-1,2490894,2020-03-27 06:02:51,141
107575,4043,-4246,1728,5357,-3054,3610,42.4000015258789,65.48000335693361,166.240005493164,8289,-1,2490935,2020-03-27 06:02:51,141
107576,-2234,-2775,2282,7188,-2893,327,50.5900001525879,57.970001220703104,159.559997558594,8289,-2,2490976,2020-03-27 06:02:51,141
107577,-5159,-4921,-3117,8428,-1946,-2120,60.970001220703104,56.470001220703104,148.139999389648,8289,-2,2491017,2020-03-27 06:02:51,141
107578,-10372,-6900,-8000,5624,-395,-6981,63.6599998474121,68.0100021362305,131.229995727539,8289,-2,2491058,2020-03-27 06:02:51,141
107579,-10202,-7579,-7357,-1749,326,-10068,-4.82000017166138,83.1500015258789,56.790000915527294,8289,1,2491099,2020-03-27 06:02:51,141
107580,-13027,-2044,2296,-5584,-1747,-8594,-75.63999938964841,62.689998626709006,-3.4300000667572004,8289,1,2491140,2020-03-27 06:02:51,141
107581,-7719,2180,2621,-8543,-4585,-1276,-84.5199966430664,50.6599998474121,6.78999996185303,8289,2,2491181,2020-03-27 06:02:51,141
107582,-660,364,7299,-6842,-4276,1670,-89.7300033569336,52.9000015258789,25.4500007629395,8289,2,2491221,2020-03-27 06:02:51,141
107583,-7013,-2216,8947,-2867,-3573,4356,-85.5,60.0699996948242,43.880001068115206,8289,2,2491262,2020-03-27 06:02:51,141
107584,-978,-3341,4465,1853,-1181,6643,-60.0099983215332,73.13999938964841,71.29000091552741,8289,2,2491303,2020-03-27 06:02:51,141
107585,1436,-3929,6895,4558,112,6682,20.3600006103516,78.5,144.429992675781,8289,-1,2491344,2020-03-27 06:02:51,141
